sku,vid,pid,status,preco,peso_efetivo_lb,lam,perfil_atual,destino,titulo
GERB-29-847,44350711431271,7715422306407,ACTIVE,117.19,27,0.2304,General profile,Standard,Gerber G0029847 Logan Square Pedestal White
GERB-41-818-76,44350711791719,7715422634087,ACTIVE,130.03,6,0.04614,General profile,Standard,Gerber G004181876 Classics Trip Lever 20 Gauge Drain for Standard Tub with Retai
GERB-D481136,44350715363431,7715425222759,ACTIVE,22.68,10.94,0.48236,General profile,Standard,"Gerber D481136 6"" Showerarm w/ Escutcheon Chrome"
GERB-D481136BB,44350716870759,7715425288295,ACTIVE,30.78,10.94,0.35542,General profile,Standard,"Gerber D481136BB 6"" Showerarm w/ Escutcheon Brushed Bronze"
GERB-D481136BN,44350716903527,7715425321063,ACTIVE,30.78,10.94,0.35542,General profile,Standard,"Gerber D481136BN 6"" Showerarm w/ Escutcheon Brushed Nickel"
GERB-G00GS507,44350718410855,7715426599015,ACTIVE,68.04,4.8,0.07055,General profile,Standard,Gerber G00GS507 Treysta Tub & Shower Valve- Horizontal Inputs WITHOUT Stops- Col
LIBE-2448LSG202,44350883725415,7715517792359,ACTIVE,6046.88,220,0.03638,General profile,Freight,"Liberty Pumps 2448LSG202 2 hp, Simplex Grinder Package 1PH, 208-230V, 1-1/4"" Dis"
LIBE-LSG202M,44350884970599,7715519037543,ACTIVE,2445.95,84,0.03434,General profile,Standard,"Liberty Pumps LSG202M 2 HP, Grinder Pump, 1 PH, 208-230V, 25' Cord, 1-1/4"" Disch"
MILW-2357-20,44350913216615,7715534274663,ACTIVE,284.3,11.42,0.04017,General profile,Standard,Milwaukee Tools 2357-20 M18™ Flood Light/Charger w/ PACKOUT™ Compatibility
MILW-48-22-1503,44350921801831,7715542827111,ACTIVE,40.59,3.48,0.08576,General profile,Standard,Milwaukee Tools 48-22-1503 FASTBACK™ Folding Utility Knife Set
MILW-48-22-2718,44350922915943,7715543777383,ACTIVE,56.95,1.99,0.03494,General profile,Standard,Milwaukee Tools 48-22-2718 8 Piece Screwdriver Kit w/ Square
MILW-48-22-2881,44350922948711,7715543810151,ACTIVE,33.67,9.84,0.29225,General profile,Standard,Milwaukee Tools 48-22-2881 13in1 Cushion Grip Screwdriver with Schrader Bit
MILW-48-22-6312,44350925635687,7715545317479,ACTIVE,31.93,5.28,0.16536,General profile,Standard,"Milwaukee Tools 48-22-6312 12"" Comfort Grip Straight-Jaw Pliers"
MILW-48-22-8315,44350927110247,7715546628199,ACTIVE,194.79,12.11,0.06216,General profile,Standard,"Milwaukee Tools 48-22-8315 15"" PACKOUT™ Tote"
MILW-48-22-8428,44350928191591,7715547611239,ACTIVE,426.36,24,0.05629,General profile,Standard,Milwaukee Tools 48-22-8428 PACKOUT™ Rolling Tool Chest
MILW-48-22-8901,44350929731687,7715548758119,ACTIVE,6.27,1.62,0.25775,General profile,Standard,Milwaukee Tools 48-22-8901 Cut Level 1 Nitrile Dipped Gloves - M
MILW-48-22-8902,44350929764455,7715548790887,ACTIVE,6.27,1.74,0.27758,General profile,Standard,Milwaukee Tools 48-22-8902 Cut Level 1 Nitrile Dipped Gloves - L
MILW-48-22-8903,44350929797223,7715548823655,ACTIVE,6.27,1.99,0.31724,General profile,Standard,Milwaukee Tools 48-22-8903 Cut Level 1 Nitrile Dipped Gloves - XL
MILW-48-22-8904,44350929829991,7715548856423,ACTIVE,6.27,1.99,0.31724,General profile,Standard,Milwaukee Tools 48-22-8904 Cut Level 1 Nitrile Dipped Gloves - XXL
MILW-48-28-1060,44350931239015,7715550068839,ACTIVE,45.0,1.75,0.03889,General profile,Standard,"Milwaukee Tools 48-28-1060 24"" x 7/16"" Universal QUIK-LOK™ Extension"
MILW-48-32-4096,44350931763303,7715550494823,ACTIVE,64.28,2.52,0.03926,General profile,Standard,Milwaukee Tools 48-32-4096 55 Piece SHOCKWAVE™ Impact Duty Driver Bit Set
MILW-49-22-1129,44350939496551,7715555934311,ACTIVE,43.62,1.5,0.03439,General profile,Standard,Milwaukee Tools 49-22-1129 12 Piece Demolition SAWZALL® Blade Set
MILW-49-22-4175,44350939562087,7715555999847,ACTIVE,238.44,15.5,0.06501,General profile,Standard,Milwaukee Tools 49-22-4175 15 Piece HOLE DOZER™ General-Purpose Hole Saw Kit
MILW-49-90-1978,44350946672743,7715560783975,ACTIVE,44.31,2.91,0.0656,General profile,Standard,Milwaukee Tools 49-90-1978 Large Wet/Dry Vacuum High Efficiency Filter
MPEX-1670010,44351001657447,7715597877351,ACTIVE,772.86,95.4,0.12343,General profile,Standard,"MrPEX Systems 1670010 1-1/2"" x 100' White Potable PEX-a Tubing"
MPEX-1680010,44351001722983,7715597942887,ACTIVE,1322.61,174.81,0.13217,General profile,Freight,"MrPEX Systems 1680010 2"" x 100' White Potable PEX-a Tubing"
MUST-12K,44350687117415,7715405955175,ACTIVE,92.14,14,0.15194,General profile,Standard,"E. L Mustee & Sons E.L. Mustee & Sons - (Drop-In Sink) White, Single Bowl SinksP"
MUST-17FK,44350687182951,7715406020711,ACTIVE,143.97,28.83,0.20025,General profile,Standard,"E. L Mustee & Sons 23"" DURASTONE® UTILATUB® Laundry Tub - Floor"
MUST-17WK,44350687215719,7715406053479,ACTIVE,143.97,26.67,0.18525,General profile,Standard,"E. L Mustee & Sons 23"" DURASTONE® UTILATUB® Laundry Tub - Wall"
MUST-265-WHT,44350687281255,7715406119015,ACTIVE,609.4,43,0.07056,General profile,Standard,E. L Mustee & Sons E.L. Mustee & Sons - DURAWALL® (Wall & Door Components) White
MUST-360.100,44350687674471,7715406512231,ACTIVE,301.55,25,0.0829,General profile,Standard,"E. L Mustee & Sons 360.100 12"" x 60"", White, Molded Fiberglass, Entry Ramp for S"
MUST-557,44350687936615,7715406774375,ACTIVE,565.78,60,0.10605,General profile,Standard,E. L Mustee & Sons 557WHT E.L. Mustee & Sons - DURAWALL® (Wall & Door Components
OATE-12805,44351216746599,7715679699047,ACTIVE,8.62,0.36,0.04182,General profile,Standard,Oatey® 12805 1/2 in. - 2-1/2 in. Sideflash 8.5 in.-8 in. Base Vertical Flashing
OATE-12806,44351216812135,7715679731815,ACTIVE,10.73,0.42,0.03939,General profile,Standard,Oatey® 12806 3 in. - 6 in. Sideflash 12.5 in.-12 in. Base Vertical Flashing
