ven,lb,skus,tamanhos,free,preco_max,valor_free,exemplos
Gruvlok,2.0,8,5,8,2672.43,7882.93,GVLF-AE7721-3-300 | GVLF-AE7721-3-200 | GVLF-7074T-300-PNTD | GVLF-618-200.125
Gruvlok,0.5,8,4,8,3242.65,5277.64,GVLF-A7788SS-600-316 | GVLF-7074SS-200-304 | GVLF-652-250.100 | GVLF-652-200.100
Milwaukee Tools,3.4,8,6,8,1141.45,4734.47,MILW-49-16-2496 | MILW-49-16-2657C | MILW-49-16-2654 | MILW-49-16-2654M
Moen,0.6,8,5,8,1296.21,3400.67,MOEN-900-002 | MOEN-900-006 | MOEN-900-001 | MOEN-920-005
Webstone,1.8,8,4,8,468.63,2136.03,WEBS-H-30617W | WEBS-H-88655 | WEBS-H-30616W | WEBS-H-70706
Pacific 75,1.09,9,4,8,275.49,872.29,S&DF-P600-TWCO | S&DF-G600-SC/MHA | S&DF-G400-TWCO-S | S&DF-G400-ST11-S
Jomar,1.44,11,5,8,198.09,856.93,JOMA-103-408G | JOMA-103-308G | JOMA-103-407G | JOMA-103-406G
Diablo,0.48,8,6,8,250.68,781.87,DIAB-DSF3625 | DIAB-DSF2562 | DIAB-DSF1750 | DIAB-DSF2125
Mueller Streamline,0.68,15,8,8,219.19,750.8,COPF-100-UFA-LF | CFCB-125.150-TEE | COPF-150.125.150-TEE-C | COPF-150.100.150-TEE-C
Mueller Streamline,0.46,15,9,8,282.0,473.66,COPT-078-ACR | CFCB-150.100.050-TEE | COPF-150.075.050-TEE-C | COPF-150.100.050-TEE-C
Mueller Streamline,0.62,10,4,8,77.66,414.3,CFCB-200.075-TEE | CFCB-200-ST45 | COPF-200.075-TEE-C | COPF-200-ST45-C
Legend Valve,0.44,10,5,8,134.18,396.06,LEGE-101-548NL | LEGE-101-547NL | LEGE-101-546NL | LEGE-101-565NL
Milwaukee Tools,0.92,9,5,8,60.0,380.02,MILW-48-25-2562 | MILW-48-22-6330 | MILW-MT555 | MILW-MT500
Mueller Streamline,0.24,13,5,8,72.38,340.11,COPF-DWV-200-22EL-C | COPF-075-DE90-LF | COPF-075-DE90-C | CPPF-125.075-CPLG
Mueller Streamline,0.27,10,6,8,50.66,251.88,CPPF-100-FTGMA | COPF-125.100.050-TEE-C | CPPF-150.050-FTR | CFCB-100.075.050-TEE
Mueller Streamline,0.28,11,8,8,177.4,212.73,COPT-058-ACR | CPPF-150-CAP | COPF-DWV-150-ST90-C | CFCB-200-CAP
Legend Valve,0.45,13,7,8,42.88,195.12,SSTF-200.050-BSH | SSTF-075-UNI | SSTF-125-45EL | SSTF-125-CPLG
Mueller Streamline,0.16,10,6,8,44.43,163.61,COPF-050-DET-LF | CPPF-100.050-CPLG | COPF-100.075-FA-C | CFCB-150-CAP
Sioux Chief,0.1,14,4,8,66.02,162.26,SIOU-698-A33AWR | SIOU-698-A11-WR | SIOU-699-A1-WR | SIOU-963-HTL-FE20
Viega,0.07,9,4,8,9.93,58.15,VEGA-49535 | VEGA-49560 | VEGA-49543 | VEGA-49533
