sku,ven,price,lb_loja,lb_fornecedor,cube_in3,lb_dimensional,lb_efetivo,lambda,excesso_x,title
BURN-X-PV4P-T02,US Boiler,5865.28,2.19,294,,,294,0.0501,1.5,"US Boiler (Burnham) X-PV Series - 94,000 BTU Input - Cast Iron Sectional Power Vented Boil"
DXVF-D20050000.415,DXV,493.2,1.0,23.7,2998.5469,21.57,23.7,0.0481,1.4,DXV D20050000.415 POP® Rectangular Sink in CANVAS WHITE
GERB-41-818-76,Gerber,130.03,1.45,6,,,6,0.0461,1.4,Gerber G004181876 Classics Trip Lever 20 Gauge Drain for Standard Tub with Retaining Ring 
MOEN-T8370,Moen,42.36,1.0,1.47,274.82,1.98,1.98,0.0467,1.4,Moen T8370 Commercial Posi-Temp 1-Handle Valve Only Trim in Chrome (Valve Not Included)
DELT-79956-BL,Delta,208.17,1.0,9.46,94.5633,0.68,9.46,0.0454,1.3,Delta 79956-BL Pivotal® Tissue Holder with Shelf Matte Black
DXVF-D20110000.415,DXV,452.4,1.0,19.2,2254.3772,16.22,19.2,0.0424,1.3,DXV D20110000.415 POP® Petite Rectangular Sink in CANVAS WHITE
FRAN-PKG160LD-ONY,Franke,910.46,1.0,40,,,40,0.0439,1.3,Franke Peak 32.0-in. x 18.8-in. Onyx Granite Undermount Double Bowl Kitchen Sink - PKG160L
WOOD-RK-ADJ-PRV,"Woodford Manufacturing Company, LLC",46.79,0.15,2,,,2,0.0427,1.3,Woodford RK-ADJ-PRV Adjustable Operating Rod 4-14
ZURN-EZC-PV4-ST,Zurn,107.07,3.0,4.77,,,4.77,0.0446,1.3,"Zurn EZC-PV4-ST EZC PVC Floor Drain Cleanout, 5"" Square Nickel Bronze Cover, with 4"" Solve"
DXVF-D20085015.415,DXV,699.6,1.0,27.8,2096.128,15.08,27.8,0.0397,1.2,DXV D20085015.415 POP® Square Vessel Sink in CANVAS WHITE
FRAN-PKG11031ONY,Franke,919.25,1.0,38,,,38,0.0413,1.2,Franke Peak 32.0-in. x 18.8-in. Onyx Granite Undermount Single Bowl Kitchen Sink - PKG1103
MILW-2357-20,Milwaukee Tools,284.3,0.73,11.42,,,11.42,0.0402,1.2,Milwaukee Tools 2357-20 M18™ Flood Light/Charger w/ PACKOUT™ Compatibility
MILW-48-28-1060,Milwaukee Tools,45.0,0.6,1.75,0.0532,0.0,1.75,0.0389,1.2,"Milwaukee Tools 48-28-1060 24"" x 7/16"" Universal QUIK-LOK™ Extension"
MOEN-TL470,Moen,39.86,1.0,1.41,217.86,1.57,1.57,0.0393,1.2,Moen TL470 Chateau Standard Valve Trim in Chrome
ZURN-CO2450-PV3,Zurn,97.69,0.9,4,,,4,0.0409,1.2,"Zurn CO2450-PV3 CO2450 Adjustable Floor Cleanout, Nickel Top, 3"" PVC"
ZURN-EZC-PV3,Zurn,93.75,1.98,3.86,,,3.86,0.0412,1.2,"Zurn EZC-PV3 EZC PVC Floor Drain Cleanout, 5"" Round Nickel Bronze Head, with 3"" x 4"" Solve"
ELKA-MPW101,Elkay,278.95,2.0,9.9,312.5,2.25,9.9,0.0355,1.1,Elkay MPW101 In-wall Mounting Plate for Single-station Non-refrigerated Fountains
GROH-40.688001,Grohe,59.23,1.0,2.227,160.68,1.16,2.23,0.0376,1.1,"Grohe 40688001 18"" Towel Bar in GROHE CHROME"
LIBE-2448LSG202,Liberty Pumps,6046.88,61.0,220,,,220,0.0364,1.1,"Liberty Pumps 2448LSG202 2 hp, Simplex Grinder Package 1PH, 208-230V, 1-1/4"" Discharge wit"
MOEN-1248,Moen,22.07,0.52,0.807,21.49,0.15,0.81,0.0366,1.1,Moen Cartridge 1248
MOEN-T2472EP,Moen,62.13,1.0,2.3,279.82,2.01,2.3,0.037,1.1,Moen T2472EP Genta LX 1-Handle Wall-Mount Shower Only Faucet Trim Kit in Chrome (Valve not
MOEN-T2743EP,Moen,99.7,1.0,3.65,465.63,3.35,3.65,0.0366,1.1,Moen T2743EP Glyde 1-Spray Single-Handle Eco-Performance Posi-Temp Tub and Shower Faucet T
MOEN-TL183EP,Moen,67.16,1.0,2.44,217.86,1.57,2.44,0.0363,1.1,Moen TL183EP Chateau 1-Handle Wallmount Tub Shower Trim Kit in Chrome Bulk Pack Valve not 
MOEN-TL183NH,Moen,58.97,1.0,2.1,229.99,1.65,2.1,0.0356,1.1,Moen TL183NH Chateau Chrome Posi-Temp(R) tub/shower
MOEN-TL2368EP,Moen,87.12,1.0,3.32,393.85,2.83,3.32,0.0381,1.1,Moen TL2368EP Chateau Single-Handle 1-Spray Shower Faucet Trim Kit in Chrome (Valve Sold S
HGRO-04186003,Hansgrohe,108.9,1.0,3.74,115.0562,0.83,3.74,0.0343,1.0,"hansgrohe 04186003 Showerarm Standard 9"" in Chrome"
LIBE-LSG202M,Liberty Pumps,2445.95,61.0,84,830.5,5.97,84,0.0343,1.0,"Liberty Pumps LSG202M 2 HP, Grinder Pump, 1 PH, 208-230V, 25' Cord, 1-1/4"" Discharge, Manu"
MILW-48-22-2718,Milwaukee Tools,56.95,0.74,1.99,0.114,0.0,1.99,0.0349,1.0,Milwaukee Tools 48-22-2718 8 Piece Screwdriver Kit w/ Square
MILW-49-22-1129,Milwaukee Tools,43.62,0.35,1.5,0.0719,0.0,1.5,0.0344,1.0,Milwaukee Tools 49-22-1129 12 Piece Demolition SAWZALL® Blade Set
MOEN-52012,Moen,23.73,0.52,0.8,15.6,0.11,0.8,0.0337,1.0,Moen 52012 Vacuum Breaker Service Kit Chrome
MOEN-66610,Moen,166.09,5.0,5.6,452.46,3.26,5.6,0.0337,1.0,Moen 66610 Brantford 2-Handle Bathroom Faucet in Chrome
MOEN-T2473EP,Moen,93.51,1.0,3.25,282.28,2.03,3.25,0.0348,1.0,Moen T2473EP Genta LX 1-Handle Wall-Mount Tub and Shower Faucet Trim Kit in Chrome (Valve 
MOEN-T62132EP,Moen,66.18,1.0,2.27,275.81,1.98,2.27,0.0343,1.0,Moen T62132EP Eva 1 Handle Eco-Performance Shower Trim Kit in Chrome
MOEN-T62153EP,Moen,99.7,1.0,3.52,276.17,1.99,3.52,0.0353,1.0,Moen T62153EP Brantford 1 Handle Eco Tub and Shower Trim Kit in Chrome
BURN-107039-02,US Boiler,262.05,2.0,9,,,9,0.0343,1.0,"US Boiler (Burnham) 107039-02 3"" PVC Vent Set with CPVC Starter, PVC Terminations and Scre"
