SKU,ID,peso_lb,preco,lambda
BURN-107862-01,7716784996455,1.0,54.82,0.018242
BURN-ALTA-120B-1G00,7716786208871,80.0,4305.64,0.01858
BURN-ALTA-150-1G00,7716786241639,132.0,4673.34,0.028245
BURN-ALTA-180-1G00,7716786274407,132.0,4846.52,0.027236
BURN-ALTAC-200-1G00,7716786307175,141.0,5270.68,0.026752
BURN-ASPN-155A-6L00M,7716786405479,160.0,8036.53,0.019909
BURN-ASPN-270A-6L00M,7716786471015,185.0,11648.2,0.015882
BURN-ASPN-320A-6L00,7716786503783,200.0,14573.18,0.013724
CALE-301040,7715271213159,1.8,54.54,0.033003
CALE-573409A,7715273408615,1.68,94.17,0.01784
CALE-F59650,7715273539687,1.2,36.09,0.03325
CAMC-08163,7715274915943,0.93,27.83,0.033417
CANP-3920A02,7715276750951,21.22,766.75,0.027675
CASH-UC954,7715766829159,0.01,0.51,0.019608
CASH-UC956,7715766894695,0.02,0.75,0.026667
CFCB-050-CPL/DS,7715622617191,0.06,1.92,0.03125
CHEM-150-FA,7715300245607,0.52,16.42,0.031669
CMPF-038-NUT,7715258695783,0.02,0.72,0.027778
CMPF-050-SLV,7715259449447,0.01,0.43,0.023256
CMPF-058-SLV,7715259646055,0.01,0.61,0.016393
COPF-018-CPL/RS-C,7715626385511,0.05,1.62,0.030864
COPT-025-10ACR,7715644047463,1.3,60.1,0.021631
COPT-038-REF,7715644309607,6.7,204.54,0.032756
COPT-050-KH,7715644473447,6.8,204.6,0.033236
COPT-058-ACR,7715644702823,0.28,177.4,0.001578
COPT-075-ACR,7715644833895,0.36,237.4,0.001516
COPT-078-ACR,7715645063271,0.46,282.0,0.001631
COPT-118-ACR,7715645390951,0.66,405.6,0.001627
COPT-125-10MH,7715645456487,6.8,209.1,0.03252
COPT-125-KH,7715645522023,20.8,617.4,0.03369
COPT-125-MH,7715645685863,13.6,418.2,0.03252
