variant_id,product_id,sku,titulo,peso_antigo_lb,peso_novo_lb
44350322114663,7715242704999,ARRO-PK1430,Arrowhead Brass PK1430 Air-Vent Vacuum Breaker Assembly for 420BFP & 450BFP Frost-Proof Hydrant Series,0.05,0.043
44350332895335,7715245981799,HGRO-10452181,"AXOR 10452181 Starck Rough, Freestanding Tub Filler",0.9,11.46
44350332928103,7715246014567,HGRO-15977181,"Axor 15977181 Rough, Volume Control, 3/4""",0.9,1.28
44350332993639,7715246080103,HGRO-27451001,AXOR 27451001 ShowerSolutions Wall Outlet with Check Valves in Chrome,5.0,0.31
44350333026407,7715246112871,HGRO-27451821,AXOR 27451821 ShowerSolutions Wall Outlet with Check Valves in Brushed Nickel,5.0,0.31
44350333059175,7715246145639,HGRO-28116000,"AXOR 28116000 ShowerSolutions Metal Handshower Hose, 63"" in Chrome",5.0,1.32
44350333091943,7715246178407,HGRO-28116820,"AXOR 28116820 ShowerSolutions Metal Handshower Hose, 63"" in Brushed Nickel",5.0,1.32
44350340137063,7715249029223,BLAN-440194,Blanco 440194 Diamond Super Single Dual Mount Kitchen Sink - Anthracite,52.3,45.0
44350340169831,7715249061991,BLAN-440209,Blanco 440209 Diamond Single Bowl Dual Mount Kitchen Sink - Metallic Gray,41.0,30.0
44350340366439,7715249193063,BLAN-440215,Blanco 440215 Diamond 1-3/4 Double Bowl Dual Mount Kitchen Sink - Anthracite,51.6,45.0
44350340431975,7715249258599,BLAN-440219,Blanco 440219 Diamond Equal Double Dual Mount Kitchen Sink - Metallic Gray,51.6,45.0
44350340464743,7715249291367,BLAN-440220,Blanco 440220 Diamond Equal Double Dual Mount Kitchen Sink - Anthracite,51.6,45.0
44350340497511,7715249324135,BLAN-441231,Blanco 441231 3-in-1 Basket Strainer,0.89,3.0
44350340530279,7715249356903,BLAN-441232,Blanco 441232 3-in-1 Disposal Flange,0.4,3.0
44350340563047,7715249389671,BLAN-441283,Blanco 441283 Diamond 1-3/4 Double Bowl Dual Mount Kitchen Sink - Truffle,51.6,45.0
44350340595815,7715249422439,BLAN-441285,Blanco 441285 Diamond Equal Double Dual Mount Kitchen Sink - Truffle,51.6,45.0
44350340628583,7715249455207,BLAN-441287,Blanco 441287 Diamond Super Single Dual Mount Kitchen Sink - Truffle,52.3,45.0
44350340694119,7715249520743,BLAN-441465,Blanco 441465 Diamond 1-3/4 Double Bowl Dual Mount Kitchen Sink - Cinder,51.6,45.0
44350340726887,7715249553511,BLAN-441466,Blanco 441466 Diamond Equal Double Dual Mount Kitchen Sink - Cinder,51.6,45.0
44350340759655,7715249586279,BLAN-441467,Blanco 441467 Diamond Super Single Dual Mount Kitchen Sink - Cinder,52.3,45.0
44350340792423,7715249619047,BLAN-441469,Blanco 441469 Diamond 1-3/4 Double Bowl Kitchen Sink - Cinder,47.5,45.0
44350341087335,7715249913959,BLAN-513426,"Blanco 513426 Precis 21"" Single Bowl Kitchen Sink - White",27.0,25.0
44350361043047,7715256336487,BRAS-WB00-18N,"BrassCraft 3/4"" x 3/4"" Water Heater Supplies - 18"", FIP x FIP, Copper WB00-18N",0.52,0.0
44350361239655,7715256402023,BRAS-WB00-24N,"BrassCraft 3/4"" x 3/4"" Water Heater Supplies - 24"", FIP x FIP, Copper WB00-24N",0.52,0.0
44350361272423,7715256434791,CMPF-025-90EL-NL,"BrassCraft 65-4X 1/4"" Compression Elbow - 90°",0.07,0.066
44350361337959,7715256500327,CMPF-025-BINS-NL,"BrassCraft 63PT-4X 1/4"" O.D. Tube Insert for Plastic and Nylon Tubing",0.05,0.001
44350361370727,7715256533095,CMPF-025-CAP-NL,"BrassCraft 61CP-4X 1/4"" O.D. Compression Cap",0.05,0.013
44350361403495,7715256565863,CMPF-025-FA-NL,"BrassCraft 66-4-4X 1/4"" Compression Female Adapter",0.06,0.058
44350361436263,7715256598631,CMPF-025-MA-NL,"BrassCraft 68-4-4X 1/4"" Compression Male Adapter Drill Through (No Tube Stop)",0.05,0.045
44350363172967,7715256696935,CMPF-025-NVLV-NL,"BrassCraft NV105-4X 1/4"" Needle Valve",0.09,0.087
44350363205735,7715256729703,CMPF-025-SLV,BrassCraft 1/4 OD Ferrule (Sleeve) 60-4,0.05,0.01
44350363238503,7715256762471,CMPF-025-TEE-NL,"BrassCraft 64-4X 1/4"" Compression Tee",0.1,0.095
