sku,vendor,ptype,price,lb,usd_lb,teto_lb,handle,variant_id,product_id
MILW-49-16-2496X,Milwaukee Tools,Press Jaw Kits,2571.49,0.73,3522.6,86.66,1-2-1-ips-p-pivoting-press-ring-kit-for-m12-force-logic-press-tool,44350937432167,7715554623591
GVLF-AE7721-3-250,Gruvlok,Gruvlok Fittings,2562.57,0.52,4928.0,86.36,2-1-2-grvd-bfv-e-grd-disc-epoxy-coated,44350753505383,7715451797607
RZNR-UDXC-125,Reznor,Unit Heaters,2528.45,2.19,1154.5,85.21,125-000-btu-udxc-universal-gas-fired-unit-heater-natural-gas-propane-conversion-kit-available,44351339167847,7715752181863
GVLF-A7050SS-600-304,Gruvlok,Gruvlok Fittings,2458.92,11.24,218.8,82.87,6-90-elbow-304-stainless-steel-gr-x-gr,44350748754023,7715449962599
BOSC-BMS500-AAM018-1CSXRD,Bosch,Outdoor Units (Compressor/Condenser),2450.87,7.0,350.1,82.59,1-1-2-ton-ductless-mini-split-multi-zone-outdoor-heat-pump-regular-performance-r454b-18-000-btu-r454b-208-230v,44350350295143,7715251486823
FUJI-AOU36RGLX,Fujitsu General,Outdoor Units (Compressor/Condenser),2430.51,7.0,347.2,81.91,retired-aou36rglx-36-000-btu-h-airstage-mini-split-outdoor-unit,44350703763559,7715418701927
HONE-DR90A3000/U,Resideo,Dehumidifiers & Humidifiers,2413.01,7.0,344.7,81.32,90-pt-whole-home-dehumidification-system,44351309971559,7715735470183
GVLF-A7788SS-400-316,Gruvlok,Gruvlok Fittings,2408.72,0.52,4632.2,81.17,4-flange-adapter-316-stainless-steel-gr-x-flange,44350753374311,7715451666535
TEKM-090,tekmar Control Systems,Snow Melt Controls,2397.0,2.19,1094.5,80.78,tekmar-snow-melt-control-slab-sensor-090,44353382416487,7716737843303
TACO-ACUF-400-AF-3,Taco Comfort Solutions,Balancing Valves,2389.5,1.8,1327.5,80.53,4-flanged-accu-flo-balancing-valve,44353380810855,7716736303207
MILW-48-11-1851,Milwaukee Tools,M18 Batteries,2387.8,1.5,1591.9,80.47,m18-redlithium-xc5-0-extended-capacity-battery-10-pack,44350919901287,7715540926567
DURA-2350120000,Duravit,Wall-Mount Sinks,2383.88,1.0,2383.9,80.34,duravit-vero-47-1-4-rectangular-wall-mounted-sink-in-white-with-single-faucet-hole-and-with-overflow,44350684725351,7715403563111
GVLF-618-400.100,Gruvlok,Gruvlok Copper Fittings,2380.65,5.5,432.8,80.23,4-x-1-tee-reducing-copper-gr-x-gr-x-gr,44350733811815,7715439312999
GVLF-618-400.125,Gruvlok,Gruvlok Copper Fittings,2380.65,5.7,417.7,80.23,4-x-1-1-4-tee-reducing-copper-gr-x-gr-x-gr,44350733877351,7715439378535
GVLF-618-400.150,Gruvlok,Gruvlok Copper Fittings,2380.65,6.1,390.3,80.23,4-x-1-1-2-tee-reducing-copper-gr-x-gr-x-gr,44350733942887,7715439411303
GVLF-621-400.200,Gruvlok,Gruvlok Copper Fittings,2380.65,6.9,345.0,80.23,4-x-2-tee-reducing-copper-gr,44350734368871,7715439804519
GVLF-621-400.250,Gruvlok,Gruvlok Copper Fittings,2380.65,7.5,317.4,80.23,4-x-2-1-2-tee-reducing-copper-gr,44350734434407,7715439870055
GVLF-621-400.300,Gruvlok,Gruvlok Copper Fittings,2380.65,8.7,273.6,80.23,4-x-3-tee-reducing-copper-gr,44350734499943,7715439902823
GVLF-7012-600-E-GALV,Gruvlok,Gruvlok Fittings,2376.99,9.53,249.4,80.1,6-flange-galvanized-epdm-green,44350738006119,7715442819175
GVLF-A7061SS-400.200-304,Gruvlok,Gruvlok Fittings,2351.64,7.98,294.7,79.25,4-x-2-tee-304-stainless-steel-gr-x-gr-x-gr,44350752063591,7715450585191
