sku,vendor,ptype,price,lb_loja,teto_lb,handle,variant_id,product_id
DELT-RP21905SS,Delta,Soap or Lotion Dispensers,109.26,1.0,3.68,delta-soap-lotion-dispenser-pump-head-stainless,44350559977575,7715367125095
MOEN-226651BG,Moen,Shower Arms,109.2,1.0,3.68,moen-12-in-shower-arm-in-brushed-gold,44350969839719,7715574349927
DIAB-D1280X,Diablo,Circular Saw Blades,109.16,0.73,3.68,12-x-80-teeth-fine-finish-saw-blade-for-wood,44350589698151,7715378397287
DELT-759240-CZ,Delta,"Towel Bars, Rings & Hooks",107.53,2.0,3.62,delta-trinsic-24-towel-bar-champagne-bronze,44350546772071,7715361849447
DIAB-DS1208CF3,Diablo,Sawzall & Hackzall Blades,106.43,0.35,3.59,12-8tpi-steel-demon-carbide-teeth-reciprocating-saw-blade-for-thick-metal-3-pack,44350636261479,7715391373415
PASC-8AH,Pasco,Miscellaneous Tools,105.93,0.33,3.57,3-8-80-t-hdl-torque-wrench-nh-wrench,44351276449895,7715717480551
DELT-T13291-LHD,Delta,Shower Trim Sets,105.23,1.0,3.55,delta-commercial-hdf-monitor-r-13-series-shower-trim-chrome,44350574329959,7715372269671
AMST-0355.012USMCA.020,American Standard,Wall-Mount Sinks,104.86,1.0,3.53,lucerne-wall-hung-sink-with-4-inch-centerset-made-in-mexico-white,44350231576679,7715205316711
DIAB-DS0910CFA3,Diablo,Sawzall & Hackzall Blades,103.41,0.35,3.48,9-10tpi-amped-steel-demon-carbide-teeth-reciprocating-saw-blades-for-medium-metal-3-pack,44350630232167,7715390128231
DIAB-DOS5S,Diablo,Oscillating Blades & Accessories,102.91,0.73,3.47,5-pc-starlock-general-purpose-oscillating-blade-set-5-piece,44350616404071,7715386720359
TECT-88109,Elkhart,Push Fittings,102.81,0.33,3.46,1-1-2-tee-push,44350696292455,7715412246631
GERB-G00GS525S,Gerber,Tub-Shower Trim Sets,101.25,1.0,3.41,treysta-tub-shower-valve-vertical-inputs-with-stops-crimp-pex,44350718476391,7715426664551
GERB-G00GS527S,Gerber,Tub-Shower Trim Sets,101.25,1.0,3.41,treysta-tub-shower-valve-vertical-inputs-with-stops-cold-expansion-pex,44350718509159,7715426697319
DELT-U4998,Delta,Shower Arms,101.18,1.0,3.41,delta-universal-shower-arm-flange-14-ceiling-mount-chrome,44350589534311,7715378233447
ZURN-Z5364,Zurn,Wall-Mount Sinks,100.17,1.0,3.38,20x18-wall-mount-high-back-sink-lavatory-4-centers-white-vitreous-china,44353500872807,7716846764135
MOUN-MT202/BRS,Mountain Plumbing Products,Flanges & Stoppers,99.45,1.0,3.35,classic-complete-stopper-strainer-unit-waste-disposer-trim-extended-flange-brushed-stainless,44350997332071,7715594240103
MOUN-MT749-3/CPB,Mountain Plumbing Products,Decorative Drainage,99.45,1.0,3.35,tear-drop-pattern-lavatory-grid-drain-with-overflow-polished-chrome,44350999003239,7715595518055
MOUN-MT749/CPB,Mountain Plumbing Products,Decorative Drainage,99.45,1.0,3.35,tear-drop-pattern-lavatory-grid-drain-without-overflow-polished-chrome,44350999167079,7715595649127
DIAB-DOU3CS,Diablo,Oscillating Blades & Accessories,98.85,0.73,3.33,3-pc-universal-fit-carbide-oscillating-blade-set-3-piece,44350623776871,7715388129383
GERB-D560930T,Gerber,Diverter Valve Trims,98.82,1.0,3.33,amalfi-1h-trim-kit-for-diverter-valves-chrome,44350717689959,7715426009191
DIAB-DOU5S,Diablo,Oscillating Blades & Accessories,97.2,0.73,3.28,5-pc-universal-fit-general-purpose-oscillating-blade-set-5-piece,44350623809639,7715388162151
MILW-49-10-9114,Milwaukee Tools,Oscillating Blades & Accessories,96.44,0.73,3.25,15-piece-universal-fit-oscillating-multi-tool-blade-set,44350936678503,7715554066535
DELT-RP100736,Delta,Soap or Lotion Dispensers,96.3,1.0,3.25,delta-essa-metal-soap-dispenser-chrome,44350554538087,7715365290087
MILW-48-59-2013,Milwaukee Tools,Portable Power,96.0,0.73,3.24,redlithium-usb-charger-portable-power-source-kit,44350934286439,7715551969383
DELT-78908-SS,Delta,"Towel Bars, Rings & Hooks",95.94,2.0,3.23,delta-tetra-8-towel-bar-stainless,44350547001447,7715362078823
